id,N,D,C,I,K,P,S,APAAC3,APAAC4,APAAC5,_SolventAccessibilityC3,_ChargeC2,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,label
Negative_50,3.279,6.557,1.639,1.639,3.279,9.836,8.197,1.74,3.48,0.87,0.344,0.705,0.115,0.361,0.443,0.262,0.426,0.183,0.067,0.167,0.133,0.15,0.1,3.279,3.096,0.774,0.774,1.548,4.644,3.87,0
Negative_290,1.226,7.356,2.627,3.853,2.802,5.954,9.107,1.005,6.032,2.154,0.261,0.753,0.135,0.391,0.49,0.284,0.448,0.225,0.033,0.191,0.181,0.137,0.144,0.35,3.584,1.28,1.877,1.365,2.901,4.438,0
Positive_1216,2.559,4.134,0.197,2.953,5.512,5.512,7.283,2.346,3.789,0.181,0.258,0.744,0.128,0.317,0.36,0.362,0.374,0.316,0.028,0.213,0.264,0.211,0.231,0.984,2.007,0.096,1.434,2.676,2.676,3.536,1
Negative_868,3.226,2.419,2.016,2.419,2.419,7.661,8.065,2.379,1.784,1.487,0.254,0.855,0.073,0.379,0.423,0.367,0.419,0.206,0.016,0.13,0.158,0.134,0.138,0.806,1.286,1.072,1.286,1.286,4.074,4.289,0
Positive_669,3.209,4.278,1.604,2.674,5.882,4.813,5.882,2.936,3.914,1.468,0.219,0.797,0.096,0.321,0.38,0.364,0.374,0.258,0.027,0.145,0.237,0.129,0.194,1.07,2.146,0.805,1.341,2.95,2.414,2.95,1
Negative_532,0.855,5.983,3.846,0.427,6.41,5.556,8.12,0.677,4.735,3.044,0.252,0.739,0.15,0.299,0.397,0.338,0.342,0.253,0.064,0.167,0.215,0.185,0.193,0.855,3.001,1.929,0.214,3.215,2.787,4.073,0
Positive_525,5.809,4.826,2.502,6.971,6.792,3.396,5.809,4.587,3.811,1.976,0.244,0.785,0.111,0.25,0.324,0.408,0.317,0.266,0.024,0.171,0.281,0.232,0.232,0.447,2.55,1.322,3.684,3.589,1.795,3.07,1
Negative_289,0.877,2.632,2.632,1.754,2.632,12.281,18.421,0.752,2.256,2.256,0.447,0.86,0.07,0.579,0.632,0.167,0.632,0.115,0.009,0.133,0.053,0.027,0.027,3.509,1.479,1.479,0.986,1.479,6.903,10.354,0
Negative_1245,3.979,3.979,1.73,3.287,3.806,8.131,7.439,4.169,4.169,1.812,0.315,0.817,0.087,0.337,0.394,0.358,0.407,0.22,0.021,0.142,0.215,0.161,0.161,1.038,2.042,0.888,1.687,1.953,4.172,3.817,0
Positive_261,6.993,2.797,1.399,6.993,4.196,0.699,5.594,7.84,3.136,1.568,0.189,0.825,0.098,0.252,0.294,0.503,0.287,0.268,0.035,0.148,0.239,0.211,0.218,4.196,1.419,0.71,3.547,2.128,0.355,2.838,1
Negative_340,6.557,2.186,3.279,6.557,8.197,9.29,7.65,4.123,1.374,2.062,0.322,0.803,0.082,0.344,0.399,0.383,0.377,0.236,0.027,0.093,0.258,0.181,0.225,1.639,1.256,1.884,3.768,4.711,5.339,4.396,0
Positive_755,2.096,5.241,0.629,6.08,7.338,3.354,4.822,2.082,5.207,0.625,0.193,0.788,0.113,0.377,0.436,0.373,0.419,0.282,0.021,0.185,0.195,0.143,0.168,0.629,2.766,0.332,3.209,3.873,1.77,2.545,1
Negative_780,3.976,1.835,0.306,2.141,8.257,13.456,8.257,2.583,1.192,0.199,0.324,0.795,0.061,0.44,0.462,0.303,0.483,0.163,0.021,0.101,0.156,0.172,0.11,0.917,0.989,0.165,1.154,4.45,7.251,4.45,0
Negative_1082,4.444,3.333,7.778,6.667,5.556,2.222,4.444,7.749,5.812,13.562,0.178,0.789,0.122,0.233,0.344,0.4,0.278,0.292,0.034,0.213,0.225,0.236,0.202,3.333,1.676,3.911,3.352,2.794,1.117,2.235,0
Positive_617,3.529,4.314,1.569,4.706,3.529,5.49,9.02,2.52,3.08,1.12,0.302,0.835,0.114,0.341,0.4,0.384,0.4,0.201,0.004,0.185,0.181,0.146,0.157,0.784,2.423,0.881,2.643,1.982,3.083,5.065,1
Negative_302,2.424,2.424,3.03,0.0,2.424,15.758,8.485,1.551,1.551,1.939,0.327,0.764,0.061,0.43,0.485,0.218,0.455,0.195,0.037,0.073,0.14,0.128,0.134,1.818,1.125,1.406,0.0,1.125,7.313,3.938,0
Positive_509,3.43,5.805,1.583,6.86,5.541,5.805,4.749,5.04,8.53,2.326,0.259,0.757,0.127,0.288,0.361,0.377,0.364,0.28,0.021,0.206,0.275,0.204,0.23,1.847,2.871,0.783,3.393,2.74,2.871,2.349,1
Positive_120,5.014,3.343,2.786,11.421,6.407,4.735,6.964,2.351,1.567,1.306,0.262,0.847,0.053,0.27,0.331,0.387,0.334,0.187,0.006,0.081,0.201,0.201,0.162,0.557,1.805,1.504,6.166,3.459,2.556,3.76,1
Negative_266,3.394,6.109,3.62,6.335,6.335,5.656,6.561,2.903,5.226,3.097,0.26,0.758,0.136,0.278,0.376,0.385,0.333,0.274,0.027,0.177,0.27,0.168,0.236,0.905,3.175,1.882,3.293,3.293,2.94,3.41,0
Positive_730,4.051,5.117,0.213,4.691,5.33,1.706,9.808,2.965,3.745,0.156,0.2,0.723,0.147,0.341,0.394,0.399,0.367,0.365,0.015,0.235,0.269,0.171,0.248,0.64,2.545,0.106,2.333,2.651,0.849,4.879,1
Positive_721,4.766,5.607,2.243,6.075,7.57,4.766,6.075,5.376,6.325,2.53,0.231,0.753,0.125,0.247,0.325,0.407,0.304,0.297,0.03,0.181,0.306,0.233,0.258,0.187,2.82,1.128,3.055,3.807,2.397,3.055,1
Positive_820,5.521,4.908,1.84,7.055,7.055,6.135,5.521,6.541,5.815,2.18,0.248,0.748,0.126,0.267,0.334,0.396,0.34,0.295,0.034,0.182,0.283,0.215,0.246,0.92,2.44,0.915,3.508,3.508,3.05,2.745,1
Negative_1070,3.462,5.0,5.769,4.231,4.615,2.692,8.846,2.465,3.56,4.108,0.277,0.8,0.096,0.288,0.396,0.35,0.369,0.251,0.015,0.17,0.236,0.162,0.189,3.077,2.668,3.078,2.258,2.463,1.436,4.72,0
Negative_762,1.327,3.878,2.143,1.939,2.245,8.673,7.551,1.457,4.259,2.354,0.247,0.801,0.105,0.402,0.462,0.372,0.43,0.261,0.014,0.168,0.19,0.117,0.17,0.306,1.993,1.101,0.997,1.154,4.458,3.881,0
Negative_673,7.077,2.424,0.291,2.666,3.684,14.251,11.682,5.588,1.914,0.23,0.377,0.876,0.057,0.441,0.468,0.381,0.462,0.194,0.01,0.087,0.162,0.109,0.151,0.097,1.492,0.179,1.64,2.267,8.769,7.188,0
Positive_661,2.495,4.223,1.727,2.495,5.374,8.445,5.374,2.106,3.565,1.458,0.25,0.766,0.111,0.38,0.44,0.33,0.411,0.273,0.019,0.188,0.198,0.152,0.179,0.576,2.104,0.86,1.243,2.677,4.207,2.677,1
Negative_612,4.082,3.401,2.041,5.442,6.122,5.442,11.565,2.336,1.946,1.168,0.299,0.85,0.068,0.354,0.408,0.415,0.395,0.226,0.021,0.103,0.205,0.13,0.171,2.721,2.009,1.206,3.215,3.617,3.215,6.833,0
Negative_347,1.646,3.292,3.292,1.646,0.823,9.053,4.938,1.666,3.332,3.332,0.21,0.802,0.082,0.337,0.403,0.366,0.362,0.269,0.012,0.149,0.244,0.186,0.231,1.646,1.58,1.58,0.79,0.395,4.346,2.37,0
Negative_681,1.754,4.211,1.754,3.509,1.754,10.175,5.614,1.809,4.343,1.809,0.27,0.772,0.112,0.351,0.411,0.354,0.411,0.257,0.032,0.176,0.246,0.176,0.201,2.105,2.058,0.857,1.715,0.857,4.972,2.743,0
Positive_464,3.829,3.829,1.126,4.505,5.631,5.405,5.18,2.334,2.334,0.686,0.275,0.831,0.077,0.264,0.313,0.345,0.367,0.21,0.018,0.122,0.246,0.253,0.172,0.676,1.993,0.586,2.345,2.931,2.813,2.696,1
Positive_308,5.196,5.774,1.501,3.002,4.965,4.734,12.356,3.985,4.428,1.151,0.306,0.756,0.132,0.394,0.467,0.299,0.443,0.262,0.028,0.203,0.225,0.155,0.192,0.693,2.918,0.759,1.517,2.509,2.393,6.245,1
Negative_485,5.289,3.802,2.81,2.314,5.124,5.62,7.934,3.183,2.288,1.691,0.256,0.76,0.093,0.306,0.372,0.349,0.355,0.248,0.026,0.136,0.237,0.209,0.189,0.496,1.901,1.405,1.157,2.562,2.81,3.967,0
Positive_1003,3.61,6.859,2.888,6.498,6.498,3.61,5.415,4.074,7.742,3.26,0.242,0.773,0.119,0.31,0.408,0.296,0.404,0.268,0.018,0.17,0.254,0.214,0.167,0.722,3.326,1.401,3.151,3.151,1.751,2.626,1
Negative_716,3.704,2.778,0.926,0.0,8.333,10.185,11.111,2.395,1.796,0.599,0.352,0.778,0.083,0.407,0.444,0.296,0.463,0.262,0.019,0.15,0.178,0.103,0.159,3.704,1.52,0.507,0.0,4.559,5.572,6.078,0
Positive_178,2.99,2.99,2.99,4.651,6.312,3.987,7.641,3.001,3.001,3.001,0.252,0.834,0.063,0.362,0.422,0.322,0.409,0.23,0.013,0.107,0.207,0.153,0.183,1.329,1.555,1.555,2.419,3.283,2.074,3.974,1
Positive_827,4.069,5.782,1.499,6.852,4.711,2.998,10.707,2.303,3.272,0.848,0.319,0.797,0.099,0.276,0.349,0.336,0.349,0.191,0.011,0.148,0.232,0.212,0.189,0.428,3.007,0.78,3.564,2.45,1.559,5.569,1
Negative_519,2.484,4.348,4.969,3.106,4.348,12.422,4.969,2.463,4.311,4.927,0.273,0.814,0.081,0.46,0.553,0.28,0.509,0.25,0.0,0.15,0.206,0.106,0.194,2.484,2.432,2.78,1.737,2.432,6.949,2.78,0
Positive_433,4.587,6.422,1.835,6.422,9.174,5.505,4.587,4.898,6.857,1.959,0.243,0.716,0.147,0.225,0.307,0.362,0.303,0.295,0.037,0.221,0.304,0.249,0.258,0.917,3.098,0.885,3.098,4.426,2.656,2.213,1
Positive_1198,3.966,6.109,2.144,5.145,5.895,3.751,8.574,3.467,5.34,1.874,0.245,0.758,0.128,0.3,0.383,0.367,0.352,0.289,0.028,0.197,0.258,0.186,0.219,0.643,3.121,1.095,2.629,3.012,1.917,4.381,1
Negative_968,4.432,2.77,1.662,2.216,4.155,8.587,7.756,4.629,2.893,1.736,0.307,0.864,0.069,0.438,0.482,0.332,0.49,0.208,0.008,0.114,0.197,0.114,0.158,0.831,1.565,0.939,1.252,2.347,4.85,4.381,0
Negative_255,3.084,4.846,1.322,9.692,1.762,6.608,4.405,1.688,2.652,0.723,0.313,0.859,0.097,0.313,0.374,0.41,0.379,0.19,0.0,0.177,0.19,0.195,0.168,2.643,2.728,0.744,5.457,0.992,3.72,2.48,0
Positive_996,1.064,4.965,1.064,1.064,3.901,18.794,5.319,0.547,2.555,0.547,0.319,0.762,0.135,0.426,0.486,0.34,0.454,0.238,0.039,0.217,0.174,0.114,0.153,1.064,2.707,0.58,0.58,2.127,10.248,2.9,1
Positive_1052,4.441,5.13,1.072,3.599,4.058,6.202,5.972,4.814,5.561,1.162,0.269,0.795,0.113,0.308,0.37,0.362,0.384,0.277,0.02,0.185,0.271,0.197,0.205,0.766,2.577,0.539,1.808,2.038,3.115,3.0,1
Positive_251,4.248,4.412,2.288,4.739,6.373,5.065,6.373,4.227,4.39,2.277,0.261,0.765,0.121,0.276,0.343,0.376,0.35,0.26,0.041,0.159,0.262,0.213,0.208,0.327,2.216,1.149,2.38,3.201,2.544,3.201,1
Positive_629,3.373,5.754,1.587,4.167,4.365,4.762,5.952,3.656,6.237,1.72,0.234,0.764,0.113,0.335,0.409,0.339,0.393,0.31,0.026,0.173,0.239,0.159,0.213,0.397,2.805,0.774,2.031,2.128,2.321,2.901,1
Negative_553,1.5,5.25,3.25,2.75,3.25,6.0,9.0,0.991,3.47,2.148,0.255,0.71,0.16,0.333,0.417,0.347,0.37,0.266,0.045,0.221,0.206,0.145,0.183,0.75,2.566,1.589,1.344,1.589,2.933,4.399,0
Positive_136,1.171,4.918,2.81,1.639,3.747,5.855,3.044,1.411,5.925,3.386,0.218,0.752,0.133,0.297,0.375,0.328,0.361,0.303,0.035,0.207,0.237,0.188,0.195,1.171,2.32,1.325,0.773,1.767,2.762,1.436,1
Positive_983,3.605,4.364,1.708,7.021,7.211,4.744,4.554,4.115,4.982,1.95,0.249,0.757,0.12,0.298,0.359,0.366,0.37,0.257,0.046,0.171,0.243,0.203,0.194,0.38,2.132,0.834,3.43,3.523,2.318,2.225,1
Positive_911,3.392,5.58,1.094,5.689,6.346,4.705,7.44,3.059,5.032,0.986,0.276,0.764,0.13,0.302,0.369,0.354,0.38,0.249,0.022,0.193,0.237,0.212,0.187,0.219,2.812,0.551,2.867,3.199,2.371,3.75,1
Negative_362,1.456,4.612,1.699,1.942,3.641,10.437,6.553,1.355,4.292,1.581,0.262,0.745,0.133,0.405,0.468,0.303,0.449,0.26,0.029,0.219,0.17,0.146,0.141,1.456,2.233,0.823,0.94,1.763,5.054,3.173,0
Positive_103,5.322,4.878,2.217,5.543,3.326,3.769,6.874,5.832,5.346,2.43,0.251,0.785,0.131,0.306,0.377,0.386,0.364,0.293,0.016,0.211,0.264,0.176,0.213,0.665,2.509,1.14,2.851,1.711,1.939,3.536,1
Negative_640,6.14,6.14,9.649,7.018,9.649,4.386,7.018,3.02,3.02,4.746,0.263,0.754,0.132,0.263,0.421,0.351,0.307,0.212,0.044,0.204,0.212,0.15,0.186,1.754,3.438,5.402,3.929,5.402,2.456,3.929,0
Negative_979,1.69,4.225,4.507,1.69,1.972,8.451,7.887,1.184,2.961,3.158,0.223,0.851,0.082,0.439,0.527,0.33,0.473,0.198,0.011,0.124,0.133,0.11,0.119,0.563,2.315,2.469,0.926,1.08,4.63,4.321,0
Negative_965,4.891,4.348,6.522,6.522,5.978,4.891,9.239,3.759,3.342,5.013,0.277,0.793,0.114,0.332,0.44,0.375,0.364,0.224,0.016,0.158,0.219,0.126,0.186,1.087,2.416,3.624,3.624,3.322,2.718,5.134,0
Positive_990,4.746,6.328,3.051,6.554,4.859,4.52,8.588,5.02,6.693,3.227,0.272,0.765,0.124,0.318,0.411,0.347,0.383,0.271,0.02,0.199,0.242,0.166,0.198,0.339,3.24,1.562,3.356,2.488,2.314,4.397,1
Positive_4,5.21,5.065,3.401,4.776,4.848,5.933,7.598,4.775,4.643,3.117,0.271,0.765,0.127,0.3,0.384,0.365,0.363,0.264,0.024,0.193,0.243,0.19,0.2,0.941,2.574,1.728,2.427,2.464,3.015,3.861,1
Positive_819,6.326,5.474,2.676,6.569,5.109,5.474,7.178,6.08,5.261,2.572,0.277,0.804,0.108,0.305,0.387,0.375,0.375,0.236,0.015,0.178,0.22,0.169,0.171,0.608,2.896,1.416,3.475,2.703,2.896,3.797,1
Negative_80,2.933,4.533,4.267,6.933,8.533,5.333,6.133,2.808,4.34,4.085,0.235,0.792,0.099,0.352,0.44,0.344,0.384,0.259,0.021,0.16,0.217,0.131,0.19,1.867,2.444,2.3,3.738,4.6,2.875,3.306,0
Negative_377,0.847,9.322,1.695,4.237,5.932,7.627,6.78,0.672,7.393,1.344,0.263,0.712,0.169,0.347,0.458,0.322,0.364,0.265,0.017,0.256,0.179,0.145,0.171,2.542,4.784,0.87,2.174,3.044,3.914,3.479,0
Negative_1255,5.414,6.794,2.017,3.397,3.715,6.476,13.27,3.688,4.628,1.374,0.324,0.753,0.14,0.376,0.464,0.318,0.433,0.226,0.028,0.193,0.189,0.142,0.157,0.743,3.544,1.052,1.772,1.938,3.378,6.923,0
Positive_405,3.448,5.747,2.299,6.034,6.609,6.034,6.322,3.754,6.257,2.503,0.247,0.759,0.147,0.293,0.374,0.394,0.328,0.291,0.017,0.225,0.265,0.19,0.245,1.437,3.022,1.209,3.173,3.475,3.173,3.324,1
Negative_373,3.356,2.685,3.356,2.685,2.685,8.725,8.054,2.435,1.948,2.435,0.255,0.758,0.067,0.389,0.45,0.275,0.43,0.277,0.007,0.128,0.176,0.135,0.155,2.685,1.205,1.506,1.205,1.205,3.916,3.615,0
Negative_638,4.135,6.263,4.898,3.774,5.741,5.058,8.992,4.145,6.279,4.91,0.277,0.776,0.121,0.345,0.457,0.32,0.403,0.261,0.024,0.184,0.221,0.141,0.182,0.361,3.255,2.546,1.962,2.984,2.629,4.674,0
Negative_363,3.39,3.39,1.695,5.932,3.39,5.932,7.627,5.795,5.795,2.897,0.237,0.814,0.093,0.381,0.432,0.364,0.398,0.248,0.034,0.137,0.197,0.154,0.188,1.695,1.731,0.865,3.028,1.731,3.028,3.893,0
Negative_1162,2.667,4.0,5.333,5.333,9.333,6.667,6.667,3.824,5.735,7.646,0.28,0.747,0.12,0.333,0.427,0.32,0.36,0.324,0.027,0.189,0.23,0.122,0.23,5.333,2.098,2.797,2.797,4.896,3.497,3.497,0
Positive_537,6.459,6.24,1.368,6.404,3.777,5.473,5.747,6.799,6.568,1.44,0.288,0.803,0.112,0.307,0.383,0.356,0.38,0.249,0.015,0.189,0.244,0.177,0.194,0.493,3.182,0.698,3.265,1.926,2.791,2.93,1
Negative_777,4.688,4.688,0.781,7.422,3.125,7.031,4.688,3.479,3.479,0.58,0.211,0.879,0.07,0.336,0.391,0.504,0.363,0.282,0.012,0.129,0.251,0.129,0.235,1.172,2.746,0.457,4.348,1.831,4.119,2.746,0
Positive_44,3.261,8.152,2.717,4.348,3.261,1.63,9.783,3.345,8.361,2.787,0.239,0.755,0.136,0.397,0.505,0.304,0.435,0.268,0.022,0.208,0.202,0.142,0.164,4.891,4.086,1.362,2.179,1.635,0.817,4.904,1
Negative_891,3.863,5.15,1.717,3.863,2.575,6.009,8.155,2.161,2.88,0.96,0.266,0.863,0.086,0.386,0.455,0.313,0.455,0.168,0.013,0.151,0.121,0.142,0.095,0.858,2.762,0.921,2.072,1.381,3.223,4.374,0
Negative_72,1.342,3.691,2.349,2.013,4.027,8.725,6.711,0.913,2.51,1.597,0.265,0.762,0.097,0.383,0.443,0.305,0.426,0.266,0.027,0.148,0.162,0.162,0.155,0.671,1.799,1.145,0.981,1.962,4.251,3.27,0
Negative_510,3.46,4.498,2.249,3.46,3.633,7.439,11.419,2.962,3.851,1.926,0.308,0.81,0.114,0.388,0.455,0.353,0.438,0.206,0.009,0.173,0.177,0.128,0.146,0.346,2.43,1.215,1.869,1.963,4.019,6.169,0
Negative_51,7.246,2.899,4.348,4.348,0.0,4.348,10.145,4.19,1.676,2.514,0.377,0.928,0.058,0.29,0.362,0.391,0.362,0.176,0.0,0.088,0.235,0.206,0.206,4.348,1.793,2.69,2.69,0.0,2.69,6.275,0
Negative_754,2.431,4.514,2.083,2.083,1.736,11.458,8.681,1.567,2.91,1.343,0.299,0.806,0.094,0.413,0.479,0.309,0.438,0.22,0.031,0.136,0.15,0.108,0.129,0.694,2.293,1.058,1.058,0.882,5.82,4.41,0
Negative_10,5.208,4.167,3.125,11.458,2.083,1.042,8.333,1.744,1.396,1.047,0.229,0.927,0.052,0.24,0.312,0.49,0.271,0.221,0.0,0.105,0.211,0.221,0.2,2.083,2.574,1.931,7.079,1.287,0.644,5.148,0
Negative_600,4.918,6.23,3.934,2.295,1.967,7.213,9.508,4.187,5.304,3.35,0.249,0.82,0.111,0.357,0.459,0.37,0.4,0.263,0.016,0.174,0.234,0.118,0.207,1.639,3.317,2.094,1.222,1.047,3.84,5.062,0
Positive_67,4.012,3.642,2.407,4.074,4.198,7.778,8.642,3.76,3.413,2.256,0.283,0.806,0.099,0.38,0.44,0.34,0.427,0.234,0.02,0.151,0.2,0.154,0.17,0.247,1.892,1.251,2.117,2.181,4.042,4.491,1
Positive_1019,5.317,5.147,1.106,4.679,6.721,5.444,9.315,5.105,4.942,1.062,0.305,0.774,0.114,0.315,0.378,0.357,0.381,0.223,0.025,0.168,0.225,0.193,0.18,0.085,2.668,0.573,2.425,3.483,2.822,4.828,1
Positive_1136,3.22,5.871,4.167,4.545,6.061,4.356,5.303,2.706,4.934,3.502,0.241,0.754,0.138,0.278,0.379,0.352,0.352,0.294,0.027,0.209,0.29,0.171,0.231,0.379,2.994,2.125,2.318,3.091,2.222,2.705,1
Positive_92,5.246,4.59,0.328,6.885,8.689,3.607,6.885,4.249,3.718,0.266,0.231,0.734,0.11,0.325,0.374,0.38,0.37,0.266,0.036,0.161,0.194,0.176,0.169,0.328,2.261,0.162,3.392,4.281,1.777,3.392,1
Negative_114,2.63,3.82,1.315,2.567,3.444,10.144,11.522,1.926,2.798,0.963,0.325,0.756,0.14,0.393,0.444,0.354,0.435,0.228,0.028,0.2,0.172,0.148,0.154,0.125,1.998,0.688,1.343,1.801,5.305,6.026,0
Negative_604,2.062,6.186,4.124,3.093,4.124,5.155,8.247,0.715,2.145,1.43,0.216,0.732,0.124,0.32,0.423,0.351,0.371,0.198,0.042,0.167,0.146,0.156,0.104,2.062,3.071,2.047,1.535,2.047,2.559,4.094,0
Negative_258,1.754,3.509,0.877,3.509,9.649,7.895,6.14,1.571,3.143,0.785,0.342,0.825,0.061,0.395,0.439,0.281,0.474,0.159,0.0,0.124,0.133,0.195,0.097,8.772,1.875,0.469,1.875,5.155,4.218,3.28,0
Negative_671,1.786,5.357,3.571,2.679,4.464,8.036,14.286,1.599,4.796,3.197,0.312,0.848,0.071,0.402,0.491,0.25,0.446,0.18,0.018,0.09,0.153,0.126,0.117,8.036,2.765,1.843,1.383,2.304,4.148,7.374,0
Positive_190,2.215,4.826,1.741,3.244,4.509,7.911,5.459,1.74,3.791,1.368,0.238,0.771,0.114,0.347,0.413,0.351,0.395,0.272,0.033,0.171,0.208,0.168,0.181,0.316,2.4,0.866,1.613,2.242,3.934,2.715,1
Negative_943,2.722,5.989,1.633,4.719,3.267,13.249,7.623,2.193,4.826,1.316,0.316,0.784,0.118,0.403,0.479,0.323,0.441,0.242,0.024,0.169,0.198,0.131,0.176,0.544,3.2,0.873,2.522,1.746,7.08,4.074,0
Positive_1150,4.667,5.778,1.778,4.222,3.556,4.444,7.111,5.212,6.452,1.985,0.28,0.776,0.14,0.318,0.393,0.36,0.38,0.272,0.013,0.214,0.265,0.174,0.212,0.667,2.97,0.914,2.17,1.828,2.284,3.655,1
Negative_1124,3.117,5.827,3.794,2.168,3.388,5.014,7.453,3.564,6.663,4.338,0.248,0.791,0.117,0.358,0.454,0.327,0.423,0.263,0.019,0.198,0.201,0.138,0.166,0.542,2.949,1.92,1.097,1.714,2.537,3.771,0
Positive_1148,5.054,6.132,2.022,5.795,6.065,4.852,9.771,3.707,4.497,1.483,0.288,0.772,0.118,0.321,0.402,0.334,0.386,0.217,0.03,0.165,0.201,0.173,0.165,0.202,3.169,1.045,2.995,3.134,2.507,5.05,1
Negative_926,1.696,5.597,1.425,2.035,5.326,12.212,10.244,1.146,3.782,0.963,0.316,0.753,0.155,0.467,0.538,0.309,0.493,0.225,0.035,0.239,0.135,0.101,0.12,0.102,3.12,0.794,1.134,2.969,6.808,5.711,0
Positive_69,6.941,4.121,5.206,5.423,6.074,3.254,5.857,6.256,3.714,4.692,0.228,0.761,0.134,0.284,0.377,0.388,0.341,0.304,0.028,0.207,0.257,0.209,0.215,0.434,2.118,2.676,2.787,3.122,1.672,3.01,1
Negative_984,1.52,5.167,0.912,0.608,2.128,10.942,13.374,1.102,3.746,0.661,0.343,0.769,0.143,0.483,0.544,0.277,0.529,0.21,0.015,0.235,0.131,0.07,0.101,0.912,2.744,0.484,0.323,1.13,5.812,7.103,0
Positive_1144,3.191,7.092,2.482,3.191,5.674,6.028,7.092,2.659,5.91,2.068,0.23,0.716,0.174,0.319,0.415,0.376,0.351,0.292,0.028,0.235,0.238,0.171,0.214,0.709,3.594,1.258,1.617,2.876,3.055,3.594,1
Positive_88,1.772,2.559,1.772,1.969,1.969,8.071,6.102,1.828,2.64,1.828,0.262,0.789,0.094,0.366,0.409,0.348,0.419,0.247,0.03,0.148,0.217,0.156,0.174,0.591,1.24,0.859,0.954,0.954,3.912,2.958,1
Positive_993,5.189,3.066,1.887,9.434,4.717,3.302,7.783,3.178,1.878,1.156,0.245,0.783,0.094,0.285,0.335,0.413,0.323,0.251,0.019,0.142,0.208,0.161,0.194,0.472,1.56,0.96,4.799,2.4,1.68,3.959,1
Negative_385,4.368,3.9,0.624,2.34,4.524,9.204,11.856,3.114,2.781,0.445,0.329,0.81,0.095,0.454,0.499,0.318,0.477,0.212,0.031,0.131,0.161,0.117,0.147,0.936,2.15,0.344,1.29,2.494,5.073,6.535,0
