id,N,D,C,I,K,P,S,APAAC3,APAAC4,APAAC5,_SolventAccessibilityC3,_ChargeC2,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,label
Positive_80,4.091,6.818,0.455,5.909,8.636,5.455,4.545,4.452,7.419,0.495,0.227,0.705,0.15,0.259,0.332,0.386,0.309,0.274,0.082,0.192,0.256,0.288,0.215,0.909,3.297,0.22,2.858,4.177,2.638,2.198,1
Positive_191,3.243,5.946,1.081,5.405,6.486,4.054,5.946,3.955,7.251,1.318,0.208,0.746,0.124,0.311,0.381,0.381,0.349,0.314,0.022,0.179,0.244,0.192,0.222,0.541,2.882,0.524,2.619,3.143,1.965,2.882,1
Negative_79,2.705,2.609,0.87,3.768,4.058,13.237,14.976,2.144,2.068,0.69,0.425,0.853,0.058,0.512,0.547,0.257,0.544,0.147,0.009,0.096,0.108,0.088,0.094,0.483,1.487,0.496,2.147,2.312,7.542,8.533,0
Negative_15,3.71,6.36,2.297,2.473,3.004,9.717,7.951,2.465,4.226,1.526,0.286,0.779,0.155,0.428,0.514,0.325,0.466,0.26,0.014,0.219,0.173,0.087,0.156,1.59,3.506,1.266,1.363,1.656,5.357,4.383,0
Positive_90,2.152,4.169,1.278,2.286,4.506,18.157,3.228,1.611,3.121,0.957,0.266,0.812,0.095,0.607,0.661,0.201,0.619,0.281,0.028,0.15,0.078,0.059,0.07,0.134,2.298,0.705,1.26,2.484,10.01,1.78,1
Negative_80,3.366,6.452,2.384,2.805,4.208,8.275,12.062,2.462,4.72,1.744,0.297,0.749,0.163,0.363,0.452,0.355,0.405,0.263,0.024,0.237,0.221,0.14,0.194,0.281,3.391,1.253,1.474,2.212,4.349,6.34,0
Negative_227,3.113,3.502,1.556,5.837,3.113,4.28,13.619,1.479,1.664,0.739,0.3,0.817,0.093,0.331,0.381,0.358,0.385,0.191,0.023,0.156,0.152,0.176,0.121,1.556,1.83,0.813,3.05,1.627,2.236,7.116,0
Positive_140,5.0,4.5,0.0,5.0,6.0,4.0,6.0,5.695,5.125,0.0,0.19,0.785,0.125,0.315,0.36,0.405,0.355,0.312,0.025,0.201,0.221,0.186,0.201,1.5,2.289,0.0,2.543,3.052,2.035,3.052,1
Positive_130,1.575,7.874,1.575,2.362,10.236,4.724,5.512,1.608,8.039,1.608,0.189,0.748,0.11,0.394,0.488,0.252,0.433,0.349,0.008,0.198,0.222,0.127,0.175,0.787,3.928,0.786,1.178,5.107,2.357,2.75,1
Positive_177,3.521,7.746,0.0,9.155,9.155,2.113,3.521,2.256,4.962,0.0,0.162,0.599,0.204,0.183,0.261,0.423,0.232,0.355,0.085,0.227,0.333,0.22,0.298,2.817,3.481,0.0,4.114,4.114,0.949,1.582,1
Negative_157,3.714,1.857,1.326,2.387,3.714,20.159,12.467,2.701,1.351,0.964,0.538,0.881,0.053,0.615,0.647,0.215,0.655,0.08,0.013,0.088,0.085,0.077,0.074,1.061,1.262,0.901,1.622,2.523,13.695,8.47,0
Negative_141,1.845,4.059,2.214,1.107,3.321,12.546,9.963,1.356,2.982,1.627,0.284,0.749,0.1,0.487,0.55,0.24,0.509,0.241,0.059,0.141,0.119,0.13,0.107,0.738,1.967,1.073,0.537,1.61,6.081,4.829,0
Negative_117,2.551,6.122,0.51,4.082,2.041,11.224,8.163,2.188,5.25,0.437,0.276,0.765,0.158,0.357,0.423,0.398,0.393,0.241,0.026,0.221,0.231,0.174,0.205,1.02,3.174,0.264,2.116,1.058,5.819,4.232,0
Negative_44,3.341,4.418,2.478,4.526,3.341,8.19,11.207,3.435,4.543,2.548,0.342,0.818,0.097,0.391,0.46,0.329,0.442,0.203,0.016,0.154,0.18,0.143,0.154,0.216,2.369,1.329,2.427,1.791,4.391,6.009,0
Positive_172,5.324,6.019,1.157,4.861,6.944,3.935,6.481,5.032,5.689,1.094,0.243,0.722,0.157,0.262,0.333,0.377,0.326,0.274,0.042,0.213,0.262,0.195,0.211,0.926,2.914,0.56,2.353,3.362,1.905,3.137,1
Positive_53,4.348,4.831,2.899,3.382,7.729,5.314,10.628,5.152,5.724,3.435,0.271,0.797,0.077,0.391,0.469,0.285,0.43,0.301,0.01,0.136,0.189,0.146,0.165,0.966,2.466,1.48,1.726,3.945,2.713,5.425,1
Negative_135,2.698,2.884,0.465,2.605,4.093,15.442,10.884,1.973,2.109,0.34,0.387,0.833,0.081,0.492,0.526,0.288,0.548,0.182,0.026,0.111,0.139,0.128,0.108,0.186,1.649,0.266,1.49,2.341,8.831,6.225,0
Negative_85,1.458,3.79,3.499,0.583,6.414,7.872,11.37,1.042,2.709,2.501,0.262,0.746,0.114,0.388,0.461,0.327,0.408,0.301,0.023,0.164,0.202,0.126,0.193,1.166,1.901,1.755,0.292,3.216,3.947,5.702,0
Positive_200,3.581,5.882,0.895,2.941,5.754,5.371,5.882,3.391,5.57,0.848,0.228,0.765,0.124,0.359,0.427,0.34,0.405,0.291,0.027,0.17,0.206,0.179,0.173,0.384,2.927,0.445,1.464,2.863,2.673,2.927,1
Positive_50,3.716,5.743,0.338,4.392,2.703,7.432,5.743,3.951,6.106,0.359,0.264,0.807,0.101,0.345,0.405,0.345,0.385,0.234,0.01,0.18,0.224,0.173,0.19,1.351,2.846,0.167,2.176,1.339,3.683,2.846,1
Negative_145,3.24,3.24,3.888,1.296,6.911,9.935,8.207,2.278,2.278,2.734,0.343,0.821,0.078,0.382,0.454,0.3,0.462,0.199,0.03,0.113,0.201,0.128,0.143,1.08,1.867,2.24,0.747,3.982,5.725,4.729,0
Negative_129,2.235,1.676,0.559,0.559,2.235,16.201,13.966,1.981,1.486,0.496,0.453,0.849,0.045,0.547,0.57,0.162,0.631,0.129,0.017,0.062,0.107,0.067,0.09,1.117,0.87,0.29,0.29,1.161,8.412,7.252,0
Positive_161,3.125,6.25,0.347,6.597,9.375,4.514,6.25,2.306,4.613,0.256,0.219,0.684,0.163,0.26,0.326,0.41,0.312,0.3,0.045,0.213,0.3,0.22,0.244,1.042,3.053,0.169,3.222,4.579,2.205,3.053,1
Positive_150,3.448,6.366,0.796,3.979,1.326,7.427,3.714,4.105,7.579,0.948,0.236,0.777,0.133,0.382,0.454,0.326,0.438,0.29,0.013,0.221,0.191,0.144,0.157,0.531,3.079,0.385,1.925,0.641,3.593,1.797,1
Negative_156,3.364,2.446,1.223,4.893,4.893,7.645,4.587,2.521,1.833,0.916,0.248,0.789,0.107,0.382,0.419,0.404,0.416,0.282,0.018,0.172,0.233,0.135,0.202,0.917,1.343,0.672,2.687,2.687,4.199,2.519,0
Negative_107,0.485,2.423,5.816,0.323,5.977,9.208,8.239,0.295,1.474,3.539,0.312,0.742,0.105,0.404,0.486,0.225,0.483,0.238,0.037,0.154,0.17,0.131,0.134,0.323,1.225,2.941,0.163,3.023,4.657,4.166,0
Positive_188,4.005,5.039,0.258,2.455,3.488,5.556,6.848,4.029,5.069,0.26,0.236,0.788,0.099,0.35,0.403,0.366,0.393,0.278,0.027,0.151,0.206,0.166,0.182,0.517,2.478,0.127,1.207,1.715,2.732,3.367,1
Positive_103,2.389,5.802,0.341,5.802,4.437,5.119,5.461,2.668,6.479,0.381,0.239,0.788,0.119,0.331,0.392,0.389,0.406,0.267,0.024,0.202,0.212,0.168,0.175,2.048,2.912,0.171,2.912,2.227,2.569,2.741,1
Negative_12,3.107,3.955,3.39,3.672,7.345,8.192,11.299,2.315,2.947,2.526,0.297,0.749,0.116,0.311,0.384,0.353,0.356,0.224,0.028,0.147,0.224,0.167,0.181,1.13,2.004,1.718,1.86,3.721,4.151,5.725,0
Positive_19,2.842,5.151,1.421,4.796,6.394,6.217,7.282,3.326,6.028,1.663,0.25,0.785,0.105,0.364,0.43,0.325,0.417,0.285,0.03,0.155,0.21,0.157,0.183,0.355,2.58,0.712,2.402,3.202,3.114,3.647,1
Positive_210,3.08,4.529,1.63,3.804,4.801,9.601,9.873,1.92,2.823,1.016,0.292,0.745,0.138,0.383,0.445,0.343,0.414,0.245,0.028,0.179,0.191,0.138,0.174,0.181,2.335,0.84,1.961,2.475,4.949,5.09,1
Negative_98,2.865,5.444,2.865,1.146,4.871,9.456,5.731,1.161,2.206,1.161,0.272,0.734,0.132,0.37,0.453,0.309,0.413,0.25,0.034,0.207,0.155,0.144,0.135,1.146,2.84,1.494,0.598,2.541,4.932,2.989,0
Positive_41,4.348,6.905,0.512,5.371,5.882,6.138,6.394,4.408,6.999,0.519,0.297,0.749,0.125,0.271,0.345,0.345,0.371,0.267,0.028,0.213,0.308,0.205,0.221,1.023,3.439,0.255,2.675,2.929,3.057,3.184,1
Negative_149,4.23,2.115,6.949,3.323,12.387,2.417,8.459,2.056,1.028,3.377,0.299,0.692,0.109,0.275,0.366,0.29,0.384,0.252,0.061,0.145,0.242,0.227,0.173,2.115,1.087,3.573,1.708,6.369,1.243,4.349,0
Negative_52,1.411,4.233,4.056,1.764,4.233,10.229,10.582,1.12,3.36,3.219,0.298,0.774,0.093,0.399,0.481,0.277,0.446,0.247,0.025,0.148,0.203,0.15,0.171,0.529,2.099,2.011,0.875,2.099,5.071,5.246,0
Negative_25,1.747,4.304,1.871,0.873,4.554,13.911,10.917,1.376,3.39,1.474,0.346,0.801,0.089,0.498,0.56,0.237,0.54,0.213,0.014,0.157,0.133,0.082,0.113,0.187,2.295,0.998,0.466,2.429,7.419,5.822,0
Negative_204,0.224,1.121,13.004,0.897,0.448,13.004,6.726,0.249,1.246,14.449,0.388,0.877,0.047,0.419,0.561,0.202,0.516,0.196,0.002,0.092,0.202,0.094,0.137,0.673,0.625,7.255,0.5,0.25,7.255,3.753,0
Negative_155,0.664,1.991,7.965,0.885,4.425,5.752,8.407,0.415,1.244,4.977,0.292,0.754,0.071,0.378,0.478,0.21,0.469,0.239,0.024,0.118,0.162,0.129,0.129,1.77,0.967,3.867,0.43,2.148,2.793,4.082,0
Positive_31,3.871,2.258,2.581,8.065,7.097,2.581,6.452,3.16,1.843,2.107,0.232,0.816,0.081,0.297,0.345,0.413,0.355,0.262,0.023,0.113,0.239,0.172,0.201,1.29,1.184,1.353,4.229,3.721,1.353,3.383,1
Negative_233,1.896,4.739,1.896,3.318,2.37,7.109,6.161,2.328,5.818,2.328,0.237,0.758,0.133,0.379,0.445,0.355,0.408,0.295,0.029,0.21,0.219,0.167,0.214,0.948,2.347,0.939,1.643,1.173,3.52,3.051,0
Positive_139,15.47,5.525,2.21,11.05,7.182,4.42,4.972,18.417,6.577,2.631,0.221,0.812,0.099,0.188,0.265,0.503,0.249,0.317,0.011,0.161,0.356,0.261,0.311,2.762,3.051,1.221,6.103,3.967,2.441,2.746,1
Negative_109,3.128,5.55,2.422,2.825,5.752,8.577,8.375,2.674,4.744,2.07,0.284,0.776,0.111,0.35,0.43,0.329,0.411,0.247,0.029,0.159,0.207,0.177,0.167,0.404,2.881,1.257,1.466,2.986,4.452,4.347,0
Positive_121,2.762,4.972,0.0,6.63,4.42,3.867,8.287,3.177,5.718,0.0,0.271,0.801,0.116,0.32,0.37,0.37,0.387,0.278,0.017,0.194,0.244,0.178,0.211,2.21,2.589,0.0,3.452,2.301,2.013,4.315,1
Negative_199,1.57,3.139,6.726,4.709,8.52,5.83,9.193,1.09,2.18,4.671,0.305,0.733,0.119,0.309,0.408,0.291,0.413,0.261,0.038,0.164,0.234,0.196,0.169,0.448,1.618,3.467,2.428,4.392,3.006,4.739,0
Positive_36,3.185,5.096,0.318,5.096,9.873,3.503,7.643,2.579,4.126,0.257,0.261,0.758,0.115,0.347,0.401,0.341,0.392,0.256,0.019,0.185,0.227,0.169,0.192,1.274,2.698,0.168,2.698,5.227,1.854,4.046,1
Negative_59,3.704,3.704,2.881,5.761,6.584,7.407,11.934,2.437,2.437,1.895,0.354,0.761,0.111,0.379,0.444,0.3,0.444,0.215,0.012,0.153,0.223,0.12,0.165,1.646,1.965,1.529,3.057,3.493,3.93,6.332,0
Positive_136,2.887,2.887,0.262,7.349,5.512,4.462,2.362,3.148,3.148,0.286,0.192,0.756,0.131,0.32,0.352,0.407,0.378,0.297,0.037,0.171,0.216,0.187,0.187,0.525,1.404,0.127,3.574,2.681,2.17,1.149,1
Negative_218,4.222,4.444,1.556,3.333,6.444,5.333,14.889,3.206,3.374,1.181,0.34,0.753,0.122,0.37,0.43,0.346,0.416,0.222,0.034,0.168,0.204,0.15,0.171,1.222,2.377,0.832,1.783,3.447,2.853,7.964,0
Negative_75,3.689,3.279,4.098,5.738,3.279,4.918,10.246,2.111,1.876,2.345,0.311,0.885,0.045,0.344,0.418,0.332,0.414,0.177,0.008,0.082,0.206,0.181,0.16,1.23,1.811,2.263,3.168,1.811,2.716,5.657,0
Negative_213,3.723,3.191,2.128,2.128,8.511,9.043,10.106,2.142,1.835,1.224,0.367,0.777,0.074,0.457,0.511,0.223,0.521,0.214,0.005,0.107,0.166,0.086,0.128,2.128,1.698,1.132,1.132,4.528,4.812,5.377,0
Positive_160,6.111,7.222,1.667,5.556,5.0,2.778,6.111,4.311,5.095,1.176,0.211,0.733,0.156,0.267,0.356,0.406,0.3,0.318,0.017,0.223,0.291,0.156,0.274,2.222,3.629,0.838,2.791,2.512,1.396,3.07,1
Negative_169,3.687,6.452,3.687,5.069,5.991,5.991,8.295,4.185,7.323,4.185,0.281,0.783,0.106,0.276,0.378,0.369,0.336,0.231,0.065,0.13,0.255,0.204,0.208,1.382,3.342,1.91,2.626,3.103,3.103,4.297,0
Positive_3,3.579,4.211,2.737,5.895,3.789,4.421,4.421,1.837,2.162,1.405,0.255,0.859,0.059,0.297,0.366,0.328,0.394,0.236,0.015,0.099,0.194,0.175,0.154,1.263,2.156,1.401,3.018,1.94,2.263,2.263,1
Negative_104,1.333,4.19,2.476,2.286,2.476,10.476,13.714,1.196,3.76,2.222,0.333,0.819,0.093,0.474,0.541,0.288,0.512,0.204,0.017,0.151,0.143,0.132,0.124,0.952,2.27,1.342,1.239,1.342,5.677,7.431,0
Positive_84,5.788,4.18,0.965,8.039,7.074,5.466,5.145,6.6,4.766,1.1,0.238,0.794,0.119,0.325,0.376,0.392,0.376,0.306,0.029,0.19,0.258,0.174,0.219,0.643,2.213,0.511,4.257,3.746,2.894,2.724,1
Negative_16,1.505,5.351,2.007,1.171,1.672,5.351,5.518,0.85,3.021,1.133,0.199,0.707,0.162,0.363,0.436,0.365,0.398,0.343,0.025,0.229,0.228,0.139,0.206,0.334,2.591,0.972,0.567,0.81,2.591,2.672,0
Negative_118,1.25,5.0,0.417,1.667,3.125,13.125,14.792,0.948,3.794,0.316,0.352,0.798,0.102,0.506,0.56,0.273,0.525,0.234,0.013,0.163,0.119,0.096,0.111,1.042,2.698,0.225,0.899,1.686,7.081,7.981,0
Positive_30,2.974,5.576,0.372,7.435,3.346,4.833,5.948,3.236,6.067,0.405,0.234,0.822,0.097,0.394,0.454,0.346,0.435,0.269,0.015,0.157,0.194,0.116,0.164,1.487,2.856,0.191,3.808,1.714,2.475,3.046,1
Negative_143,3.315,6.906,1.105,1.657,4.972,6.906,8.287,1.548,3.224,0.516,0.204,0.693,0.174,0.401,0.481,0.329,0.417,0.31,0.039,0.227,0.175,0.108,0.163,0.552,3.434,0.549,0.824,2.472,3.434,4.12,0
Positive_186,3.132,4.036,1.322,6.82,5.776,3.41,8.212,1.824,2.351,0.77,0.251,0.779,0.104,0.31,0.363,0.386,0.358,0.251,0.031,0.143,0.228,0.201,0.194,0.278,2.087,0.684,3.527,2.987,1.764,4.247,1
Negative_202,1.008,2.823,5.847,0.605,3.831,9.476,6.25,0.738,2.067,4.28,0.268,0.79,0.095,0.458,0.544,0.216,0.532,0.22,0.032,0.139,0.174,0.111,0.131,0.806,1.479,3.063,0.317,2.007,4.964,3.274,0
Negative_53,0.653,3.1,1.794,1.794,1.794,7.341,6.199,0.632,2.998,1.735,0.261,0.809,0.093,0.423,0.471,0.331,0.48,0.253,0.018,0.155,0.191,0.139,0.149,0.653,1.553,0.899,0.899,0.899,3.677,3.105,0
Negative_73,3.042,5.323,0.76,4.183,5.323,9.506,6.844,3.634,6.36,0.908,0.259,0.795,0.099,0.422,0.483,0.304,0.449,0.305,0.015,0.16,0.221,0.153,0.195,0.76,2.688,0.384,2.112,2.688,4.801,3.456,0
Negative_201,4.011,3.734,3.043,6.362,5.533,4.288,8.99,4.274,3.979,3.242,0.296,0.813,0.091,0.303,0.371,0.397,0.372,0.23,0.017,0.15,0.23,0.179,0.179,0.277,2.006,1.635,3.418,2.973,2.304,4.83,0
Negative_87,0.619,4.025,3.096,0.619,0.619,7.121,5.573,0.662,4.305,3.311,0.238,0.786,0.118,0.409,0.48,0.313,0.455,0.286,0.025,0.18,0.177,0.102,0.158,1.238,1.988,1.529,0.306,0.306,3.517,2.752,0
Negative_121,1.938,1.163,5.426,3.488,1.163,5.814,13.178,1.048,0.629,2.933,0.291,0.926,0.043,0.368,0.434,0.38,0.426,0.148,0.004,0.082,0.14,0.175,0.109,0.775,0.673,3.142,2.019,0.673,3.366,7.63,0
Positive_174,5.198,5.693,1.733,4.455,7.921,6.436,9.653,4.651,5.094,1.551,0.28,0.738,0.124,0.317,0.391,0.351,0.364,0.251,0.03,0.189,0.223,0.179,0.203,0.495,2.89,0.88,2.262,4.022,3.268,4.901,1
Positive_126,5.755,5.036,1.439,3.597,10.072,2.158,4.317,6.819,5.967,1.705,0.209,0.806,0.072,0.388,0.453,0.317,0.424,0.246,0.022,0.123,0.13,0.145,0.116,1.439,2.697,0.771,1.926,5.393,1.156,2.312,1
Negative_43,1.695,5.085,2.119,2.119,11.441,6.78,9.322,0.995,2.984,1.244,0.284,0.699,0.119,0.301,0.373,0.318,0.356,0.26,0.051,0.179,0.251,0.209,0.2,0.847,2.555,1.065,1.065,5.75,3.407,4.685,0
Negative_125,0.765,3.061,3.061,3.699,4.847,5.74,6.378,0.581,2.324,2.324,0.267,0.77,0.13,0.399,0.46,0.343,0.459,0.25,0.023,0.189,0.186,0.115,0.147,0.255,1.66,1.66,2.006,2.629,3.113,3.459,0
Negative_142,2.826,2.948,1.966,4.177,2.58,9.459,7.74,2.552,2.662,1.775,0.283,0.819,0.09,0.423,0.472,0.356,0.463,0.246,0.014,0.144,0.175,0.135,0.143,0.369,1.554,1.036,2.201,1.36,4.985,4.079,0
Positive_102,4.058,4.638,1.159,5.217,3.478,5.217,5.797,5.057,5.779,1.444,0.22,0.814,0.099,0.371,0.429,0.38,0.414,0.294,0.012,0.145,0.218,0.128,0.195,0.58,2.435,0.608,2.738,1.826,2.738,3.043,1
Negative_163,1.498,3.744,1.997,3.411,3.993,10.732,10.316,1.312,3.28,1.749,0.324,0.785,0.109,0.41,0.468,0.313,0.459,0.22,0.018,0.172,0.187,0.123,0.157,0.166,1.953,1.042,1.78,2.083,5.599,5.382,0
Negative_103,1.884,4.441,2.826,2.826,1.884,6.595,6.326,1.489,3.509,2.233,0.245,0.781,0.114,0.32,0.393,0.355,0.377,0.253,0.028,0.155,0.222,0.156,0.182,0.269,2.157,1.373,1.373,0.915,3.204,3.073,0
Positive_153,3.422,5.038,1.331,5.513,5.989,6.559,7.7,2.942,4.332,1.144,0.285,0.751,0.13,0.311,0.375,0.371,0.373,0.261,0.035,0.182,0.26,0.191,0.216,0.57,2.563,0.677,2.804,3.047,3.337,3.917,1
Positive_83,4.284,5.862,0.676,6.426,5.411,4.059,4.848,4.57,6.253,0.721,0.234,0.752,0.139,0.307,0.372,0.37,0.38,0.313,0.036,0.212,0.242,0.19,0.203,0.338,2.876,0.332,3.153,2.655,1.992,2.379,1
Positive_181,5.665,4.549,3.348,6.781,6.695,5.923,10.987,6.291,5.052,3.718,0.314,0.809,0.102,0.295,0.374,0.38,0.36,0.243,0.016,0.166,0.253,0.189,0.208,0.172,2.445,1.8,3.645,3.599,3.184,5.906,1
Positive_213,7.5,5.0,1.25,6.25,7.5,2.5,5.0,10.295,6.863,1.716,0.212,0.762,0.087,0.237,0.3,0.425,0.3,0.316,0.0,0.152,0.278,0.228,0.228,3.75,2.436,0.609,3.045,3.654,1.218,2.436,1
Positive_112,6.554,7.822,0.0,4.863,9.302,2.537,8.245,6.965,8.312,0.0,0.285,0.767,0.121,0.328,0.406,0.328,0.4,0.275,0.025,0.182,0.212,0.153,0.169,0.423,4.062,0.0,2.525,4.83,1.317,4.281,1
Negative_67,1.807,1.807,0.904,0.0,8.434,10.542,9.639,0.935,0.935,0.468,0.226,0.732,0.178,0.63,0.657,0.229,0.633,0.278,0.033,0.254,0.051,0.051,0.048,1.205,1.08,0.54,0.0,5.042,6.302,5.763,0
Negative_39,1.068,4.274,2.137,3.632,2.137,5.128,9.402,1.156,4.628,2.314,0.28,0.835,0.096,0.408,0.472,0.361,0.442,0.263,0.017,0.141,0.182,0.109,0.167,0.855,2.284,1.142,1.941,1.142,2.741,5.025,0
Negative_123,1.327,4.314,3.54,1.659,4.867,10.509,7.854,0.831,2.7,2.216,0.291,0.754,0.114,0.413,0.491,0.277,0.467,0.225,0.029,0.14,0.161,0.11,0.13,0.885,2.238,1.836,0.861,2.525,5.451,4.074,0
Positive_59,1.672,9.365,1.338,5.017,4.348,4.013,5.351,1.541,8.631,1.233,0.201,0.763,0.134,0.351,0.458,0.344,0.395,0.295,0.023,0.205,0.201,0.111,0.168,1.338,4.776,0.682,2.558,2.217,2.046,2.729,1
Negative_90,1.695,3.814,1.977,1.695,1.554,9.887,8.192,1.557,3.504,1.816,0.294,0.822,0.092,0.449,0.507,0.306,0.49,0.24,0.014,0.133,0.15,0.107,0.122,0.282,1.969,1.021,0.875,0.802,5.104,4.229,0
Negative_62,3.916,5.221,1.707,3.765,6.175,5.673,10.894,2.441,3.254,1.064,0.28,0.76,0.114,0.353,0.422,0.347,0.393,0.247,0.025,0.162,0.2,0.16,0.177,0.151,2.734,0.894,1.972,3.234,2.971,5.705,0
Positive_218,3.463,5.628,1.299,6.494,10.173,5.411,4.978,3.006,4.885,1.128,0.24,0.747,0.115,0.346,0.416,0.331,0.394,0.286,0.046,0.176,0.234,0.174,0.204,0.866,2.859,0.66,3.299,5.168,2.749,2.529,1
Positive_167,6.497,5.381,0.406,4.67,3.553,4.365,8.934,6.332,5.245,0.396,0.289,0.839,0.091,0.393,0.451,0.359,0.437,0.244,0.019,0.162,0.189,0.144,0.161,0.203,2.922,0.22,2.536,1.929,2.37,4.851,1
Negative_33,0.307,3.988,3.374,3.374,3.067,6.135,7.362,0.395,5.133,4.342,0.276,0.782,0.095,0.294,0.368,0.383,0.344,0.277,0.025,0.154,0.277,0.178,0.234,1.227,1.965,1.662,1.662,1.511,3.022,3.627,0
Negative_130,1.093,1.093,3.825,2.186,9.836,18.579,12.568,0.294,0.294,1.029,0.361,0.689,0.066,0.421,0.47,0.213,0.448,0.126,0.044,0.066,0.104,0.176,0.071,1.639,0.551,1.929,1.102,4.959,9.367,6.337,0
Negative_28,3.475,4.247,3.475,1.931,1.544,7.336,10.039,3.573,4.367,3.573,0.232,0.807,0.116,0.378,0.456,0.402,0.398,0.326,0.023,0.202,0.24,0.14,0.229,1.158,2.193,1.795,0.997,0.797,3.789,5.185,0
Positive_13,3.409,6.061,0.758,3.409,4.545,6.818,4.924,4.155,7.387,0.924,0.223,0.735,0.133,0.295,0.364,0.364,0.348,0.319,0.023,0.221,0.278,0.179,0.243,2.273,2.839,0.355,1.597,2.129,3.194,2.307,1
Negative_17,1.553,4.182,0.358,1.314,2.389,8.363,6.452,1.439,3.874,0.332,0.258,0.806,0.093,0.389,0.435,0.325,0.448,0.266,0.02,0.15,0.179,0.152,0.14,0.597,2.04,0.175,0.641,1.165,4.079,3.147,0
Negative_137,2.41,2.41,6.024,2.41,9.639,4.819,8.434,1.484,1.484,3.709,0.217,0.819,0.06,0.289,0.373,0.386,0.325,0.268,0.0,0.122,0.244,0.159,0.22,3.614,1.369,3.423,1.369,5.477,2.738,4.793,0
Positive_34,1.744,6.395,4.651,2.907,9.302,8.14,3.488,1.254,4.599,3.345,0.238,0.68,0.157,0.262,0.372,0.32,0.326,0.339,0.035,0.222,0.31,0.14,0.275,1.163,3.102,2.256,1.41,4.513,3.949,1.692,1
Negative_78,1.379,8.276,10.345,4.138,13.103,8.276,3.448,0.922,5.534,6.917,0.255,0.717,0.117,0.241,0.428,0.241,0.331,0.292,0.062,0.174,0.292,0.181,0.243,1.379,4.395,5.494,2.198,6.959,4.395,1.831,0
